customer_id,invoice_date,amount,credit_score,industry,month,paid_ratio_3,late_ratio_3,avg_delay_3,delay_trend,days_since_last_payment,is_default
CUST-00913,2023-01-27,12056.65,330,Healthcare,1,0.98,0.0,19.5,7,102,1
CUST-00205,2023-03-02,7254.58,427,Healthcare,3,0.74,0.23,7.8,12,41,1
CUST-02254,2023-09-21,13604.43,593,Energy,9,0.62,0.33,10.0,15,69,1
CUST-02007,2023-11-29,27403.44,740,Healthcare,11,0.13,0.88,46.6,10,101,0
CUST-01829,2023-06-23,6718.88,687,Construction,6,0.44,0.58,3.5,-15,113,0
CUST-01144,2023-10-31,6718.97,823,Healthcare,10,0.61,0.37,6.5,2,10,0
CUST-00840,2023-08-11,28663.23,846,Services,8,0.82,0.22,11.6,-8,20,0
CUST-04468,2023-03-18,14972.16,409,Retail,3,0.49,0.51,27.3,8,25,1
CUST-00713,2023-11-18,5565.94,627,Retail,11,0.96,0.09,5.6,3,14,1
CUST-04838,2024-01-05,12507.05,704,Tech,1,0.34,0.61,1.9,-11,23,0
CUST-03457,2023-07-26,5592.97,544,Construction,7,0.77,0.19,23.1,8,59,0
CUST-00261,2023-05-06,5582.64,462,Construction,5,0.48,0.5,5.1,-6,81,1
CUST-00245,2023-01-18,9833.69,698,Retail,1,0.54,0.41,3.9,14,71,1
CUST-00768,2023-03-02,1753.51,698,Retail,3,0.82,0.21,5.8,15,104,0
CUST-01792,2023-05-04,2038.7,792,Services,5,0.37,0.59,4.2,15,34,0
CUST-01906,2023-07-23,5167.63,538,Retail,7,0.19,0.83,11.3,-7,27,0
CUST-04140,2023-09-08,3603.77,764,Retail,9,0.57,0.39,14.8,11,28,0
CUST-04932,2023-06-04,10419.12,331,Services,6,0.58,0.4,8.2,2,110,1
CUST-00218,2023-12-19,3918.96,422,Retail,12,0.82,0.21,6.9,15,51,1
CUST-04598,2023-11-02,2617.98,833,Energy,11,0.97,0.08,16.8,10,109,1
