customer_id,amount_normalized,customer_age_normalized,invoice_frequency,credit_score_normalized,industry_risk_factor,seasonal_factor,is_bad_payer,amount,credit_score,industry,customer_age_months,payment_count,invoice_month,hist_paid_ratio,hist_late_ratio,hist_avg_delay_normalized,hist_payment_count_normalized
CUST-000001,0.045049,0.589595,5.88,0.654545,0.3,0.7477,1,225720.71,660,Real Estate,108,92,7,0.7101,0.2157,0.12025,0.66
CUST-000002,0.000739,0.531792,0.68,0.578182,0.55,1.1089,0,4194.72,618,Construction,98,166,11,0.6568,0.2814,0.109833,0.745
CUST-000003,0.016639,0.080925,3.91,0.749091,0.28,0.9892,0,83684.23,712,Energy,20,75,1,0.7203,0.1929,0.084333,0.14
CUST-000004,0.00195,0.612717,8.46,0.621818,0.3,0.9707,1,10247.88,642,Real Estate,112,60,3,0.741,0.259,0.220333,0.38
CUST-000005,0.001611,0.410405,0.5,0.672727,0.35,0.9747,0,8552.05,670,Manufacturing,77,126,3,0.7104,0.2605,0.12025,0.705
CUST-000006,0.326292,0.115607,12.95,0.34,0.25,0.8553,1,1631797.14,487,Telecom,26,73,6,0.4813,0.3658,0.01025,0.535
CUST-000007,0.0,0.589595,0.93,0.978182,0.45,0.9272,0,500.0,838,Retail,108,22,5,0.826,0.016,0.00875,0.0
CUST-000008,0.011441,0.699422,11.03,0.605455,0.35,1.135,0,57697.47,633,Manufacturing,127,149,12,0.6006,0.251,0.1985,0.015
CUST-000009,0.009981,0.427746,8.1,0.761818,0.18,1.0911,0,50402.05,719,Healthcare,80,123,11,0.6434,0.1263,0.024417,0.765
CUST-000010,0.023412,0.50289,5.88,0.483636,0.52,0.8027,0,117548.19,566,Tourism,93,33,7,0.5986,0.2746,0.081083,0.51
CUST-000011,0.022305,0.67052,0.94,0.690909,0.4,0.9879,0,112012.49,680,Logistics,122,4,3,0.7592,0.2245,0.115333,0.42
CUST-000012,0.012174,0.572254,0.98,0.398182,0.35,1.0889,0,61366.19,519,Manufacturing,105,172,11,0.6085,0.3167,0.094,0.24
CUST-000013,0.009981,0.595376,1.2,0.718182,0.55,1.0083,1,50398.45,695,Construction,109,129,1,0.6488,0.1694,0.0095,0.345
CUST-000014,0.000842,0.872832,6.65,0.570909,0.35,1.1304,1,4708.62,614,Manufacturing,157,190,11,0.7023,0.2977,0.03225,0.86
CUST-000015,0.004898,0.751445,0.83,0.64,0.48,1.0328,0,24986.74,652,Food & Beverage,136,150,3,0.6697,0.1982,0.056083,0.42
CUST-000016,0.023712,0.861272,3.48,0.761818,0.15,0.8098,0,119048.11,719,Education,155,59,8,0.7242,0.2065,0.056667,0.115
CUST-000017,0.001051,0.300578,6.01,0.410909,0.18,0.8684,0,5755.42,526,Healthcare,58,37,5,0.5345,0.3132,0.160833,0.635
CUST-000018,0.009256,0.00578,2.47,0.510909,0.52,1.0743,1,46776.55,581,Tourism,7,151,3,0.617,0.2729,0.367583,0.555
CUST-000019,0.024278,0.50289,7.35,0.718182,0.52,0.8015,1,121877.83,695,Tourism,93,161,8,0.7733,0.2267,0.012083,0.395
CUST-000020,0.002206,0.907514,3.3,1.0,0.5,0.8593,0,11530.03,850,Agriculture,163,113,6,0.8432,0.0861,0.043083,0.065
CUST-000021,0.100376,0.213873,3.62,0.610909,0.28,1.0235,1,502330.78,636,Energy,43,150,3,0.5589,0.2897,0.089167,0.04
CUST-000022,0.013787,0.745665,4.52,0.743636,0.2,0.9026,0,69427.06,709,Pharmaceuticals,135,192,5,0.744,0.1457,0.048333,0.595
CUST-000023,8.7e-05,0.115607,7.48,0.616364,0.48,0.977,0,936.74,639,Food & Beverage,26,127,1,0.6073,0.277,0.099667,0.095
CUST-000024,0.005228,0.924855,0.5,0.989091,0.45,0.8503,0,26639.06,844,Retail,166,190,6,0.6523,0.0535,0.018333,0.435
CUST-000025,0.000827,0.32948,1.99,0.318182,0.48,1.1421,0,4636.29,475,Food & Beverage,63,118,12,0.4943,0.4873,0.306417,0.16
CUST-000026,0.000472,0.121387,13.19,0.652727,0.2,0.8826,1,2860.06,659,Technology,27,182,9,0.6759,0.2863,0.233667,0.655
CUST-000027,0.000552,0.508671,0.5,0.34,0.45,1.1201,0,3258.49,487,Retail,94,186,12,0.435,0.3688,0.22125,0.49
CUST-000028,0.201448,0.277457,1.06,0.18,0.25,0.7441,0,1007638.66,399,Telecom,54,140,7,0.2896,0.4822,0.321333,0.18
CUST-000029,0.000795,0.33526,3.38,0.689091,0.25,1.1844,0,4476.07,679,Telecom,64,112,11,0.6265,0.1852,0.032167,0.5
CUST-000030,0.003189,0.976879,7.8,0.66,0.4,0.8637,0,16445.79,663,Logistics,175,146,8,0.5521,0.2539,0.210167,0.94
