leave_days,leave_balance,performance_score,absence_count,job_level,years_of_experience,salary_grade,overtime_hours,approved
9,21,0.31,10,lead,2,A,53,1
7,0,0.63,9,senior,14,B,39,0
9,21,0.44,10,junior,14,C,3,0
6,24,0.47,2,junior,13,D,0,0
12,10,0.86,6,manager,27,D,16,0
8,15,0.33,2,manager,1,C,60,1
14,17,0.76,2,senior,15,C,28,1
15,2,0.73,10,lead,26,B,47,1
13,3,0.9,1,lead,6,E,38,0
14,20,0.36,6,senior,11,A,18,1
9,19,0.47,2,junior,26,C,55,1
7,23,0.48,3,senior,11,C,43,0
13,20,0.32,5,lead,29,C,50,0
3,1,0.79,8,senior,20,A,3,0
5,23,0.48,7,lead,13,B,36,0
3,20,0.79,1,mid,21,C,7,1
2,26,0.45,9,lead,11,C,18,0
14,3,0.67,10,senior,9,E,53,1
11,17,0.87,6,manager,21,D,24,1
10,11,0.32,8,mid,15,A,12,1
5,19,0.45,8,mid,13,B,47,0
4,25,0.87,9,manager,9,C,20,0
5,3,0.56,3,manager,28,C,53,0
10,29,0.83,5,lead,1,C,59,1
8,28,0.83,4,manager,8,A,37,1
14,22,0.9,9,senior,5,C,46,1
4,30,0.89,9,senior,14,C,32,0
3,13,0.5,6,manager,13,A,20,1
3,27,0.44,3,mid,2,A,46,1
3,27,0.56,6,senior,17,C,1,1
3,18,0.46,10,mid,17,C,51,0
15,23,0.53,6,manager,25,A,3,1
15,2,0.74,9,junior,23,B,29,0
3,22,0.56,8,mid,11,A,14,1
4,25,0.63,3,lead,4,A,1,1
10,17,0.76,4,mid,23,C,28,1
14,1,0.56,1,senior,27,B,49,0
3,18,0.39,2,senior,15,E,32,0
12,27,0.95,4,senior,21,A,18,1
12,11,0.67,1,manager,17,C,51,1
1,3,0.83,9,senior,24,B,33,0
1,25,0.72,5,junior,24,E,52,1
10,25,0.64,2,lead,1,C,18,1
13,26,0.38,5,junior,9,B,26,0
2,22,0.92,10,manager,9,D,17,0
4,9,0.36,8,junior,27,C,16,0
8,13,0.72,0,manager,4,C,6,1
1,17,0.93,2,senior,18,D,54,1
15,13,0.93,1,lead,25,A,29,0
12,14,0.5,5,manager,26,E,36,0
3,0,0.53,9,manager,19,E,48,0
11,21,0.6,6,junior,28,B,54,1
12,19,0.75,3,senior,11,C,27,1
8,18,0.67,2,manager,29,E,46,1
2,8,0.47,7,mid,13,D,7,0
8,24,0.67,7,junior,25,A,53,1
15,8,0.92,2,mid,20,D,21,0
9,10,0.89,8,mid,16,E,7,0
6,12,0.37,0,lead,8,A,54,1
14,16,0.67,10,lead,12,B,31,0
14,12,0.36,7,mid,8,C,27,0
6,25,0.9,8,junior,20,E,7,0
15,18,0.64,1,junior,12,D,0,0
6,1,0.89,6,mid,25,C,43,1
15,30,0.66,0,senior,19,E,54,1
9,26,0.62,6,lead,18,A,9,1
4,18,0.88,3,manager,26,C,4,1
6,23,0.73,10,senior,14,C,13,0
10,23,0.45,10,manager,22,B,55,0
4,4,0.38,0,lead,6,D,5,0
10,8,0.36,1,senior,30,C,50,0
6,18,0.91,8,manager,26,D,22,0
13,16,0.67,0,manager,5,A,18,1
5,5,0.42,1,senior,27,C,21,1
3,23,0.52,3,senior,28,E,15,0
8,16,0.52,7,manager,9,A,54,1
6,7,0.36,6,junior,12,B,11,0
2,29,0.41,3,senior,15,B,0,1
2,2,0.36,6,senior,15,A,51,1
12,0,0.82,8,manager,6,A,58,1
13,11,0.43,7,senior,28,B,42,0
11,29,0.58,6,senior,11,B,4,0
11,2,0.95,0,senior,8,E,45,1
2,11,0.46,9,senior,26,B,26,0
13,28,0.59,6,mid,22,E,35,0
13,0,0.82,5,senior,24,C,29,0
9,27,0.49,10,manager,20,E,55,0
5,27,0.63,6,senior,25,D,7,0
4,30,0.7,5,manager,20,B,20,0
10,2,0.34,4,senior,3,E,30,0
13,18,0.91,7,senior,11,B,3,0
7,5,0.93,6,mid,23,C,30,0
1,15,0.93,0,lead,14,B,35,1
10,7,0.87,6,lead,26,D,17,0
7,29,0.48,7,lead,21,E,56,0
4,1,0.69,10,junior,26,C,3,0
9,25,0.84,5,junior,8,D,57,1
6,19,0.46,0,lead,11,D,7,1
3,15,0.76,10,junior,8,D,37,0
3,20,0.48,6,lead,22,B,33,1
13,28,0.56,9,senior,8,D,34,0
3,13,0.47,5,senior,7,E,21,1
14,22,0.45,10,senior,27,A,39,1
10,15,0.87,10,junior,30,A,22,1
7,10,0.53,8,senior,18,E,13,0
15,4,0.52,6,senior,25,C,31,0
9,1,0.65,9,mid,12,E,6,0
14,10,0.63,3,manager,11,B,18,0
1,14,0.67,0,lead,27,A,43,1
15,29,0.39,3,senior,8,D,28,0
8,23,0.61,10,junior,14,C,4,0
13,14,0.33,4,manager,4,C,13,1
5,16,0.4,10,mid,20,E,52,0
15,13,0.59,7,senior,18,A,19,0
11,5,0.39,6,senior,16,D,32,0
6,27,0.73,6,junior,30,D,28,1
2,16,0.37,0,manager,30,B,2,1
14,21,0.72,2,mid,1,D,37,1
6,17,0.31,8,junior,17,E,49,0
10,29,0.91,9,mid,4,C,55,1
11,14,0.31,7,manager,6,A,52,1
8,2,0.72,3,mid,6,A,56,1
9,26,0.37,1,manager,20,A,35,1
7,0,0.86,10,lead,15,B,38,0
14,6,0.56,2,junior,20,B,6,0
11,16,0.38,10,lead,20,E,40,0
8,13,0.75,2,manager,14,C,56,1
